user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the maximum air ambulance travel distance covered under the policy?,"['Air Ambulance Cover  expenses', 'Air Ambulance Cover  Sum insured', 'air ambulance  competent government Authority', 'Air Ambulance expenses  Reimbursement', 'expenses  Insured Person', 'expenses  150 kms', 'policy  infertility treatments', 'policy  charges under maternity section', 'policy  healthy baby expenses', 'policy  routine medical care for new born', 'Policy Schedule  Sum Insured Limit']","The maximum air ambulance travel distance covered under the policy is ""150 kms."" This information is derived from the relationship: (expenses [COST]) Â[Payable Up To]? (150 kms [DISTANCE]) [Page 1].",The maximum air ambulance travel distance covered under the policy is 150 km.,0.5,0.89675486,0.16666666665,1.0
What expenses are included under routine medical care for Well Mother cover?,"['Well Baby Well Mother  Add On Wordings', 'Well mother Cover  routine medical care', 'routine medical care  Well mother Cover', 'Routine Medical Care  Pharmacy, Diagnostics, Doctor Consultations and Therapy', 'Routine Medical Care  Routine Preventive Care Services', 'Routine Medical Care  New Born Baby', 'Routine Medical Care  Customary Examinations', 'Routine Medical Care  Immunizations', 'routine medical care for new born  policy', 'Routine Preventive Care Services  Pharmacy and Diagnostic Tests', 'Routine Preventive Care Services  Pharmacy and Diagnostic Tests', 'policy  infertility treatments', 'policy  charges under maternity section', 'policy  healthy baby expenses']","The expenses included under routine medical care for Well Mother cover are:

1. Pharmacy, Diagnostics, Doctor Consultations, and Therapy.
   - Reference: (Routine Medical Care [MEDICAL SERVICE]) Â[Includes Expenses On]? (Pharmacy, Diagnostics, Doctor Consultations and Therapy [EXPENSE CATEGORIES]) [Triplet 4]

2. Routine Preventive Care Services, which further includes expenses on Pharmacy and Diagnostic Tests.
   - Reference: 
     - (Routine Medical Care [MEDICAL SERVICE]) Â[Includes]? (Routine Preventive Care Services [MEDICAL SERVICE]) [Triplet 5]
     - (Routine Preventive Care Services [MEDICAL SERVICE]) Â[Includes Expenses On]? (Pharmacy and Diagnostic Tests [EXPENSE CATEGORIES]) [Triplet 10]

3. Customary Examinations.
   - Reference: (Routine Medical Care [MEDICAL SERVICE]) Â[Includes]? (Customary Examinations [SERVICE COMPONENT]) [Triplet 7]

4. Immunizations.
   - Reference: (Routine Medical Care [MEDICAL SERVICE]) Â[Includes]? (Immunizations [SERVICE COMPONENT]) [Triplet 8]","Routine medical care includes pharmacy, diagnostics, doctor consultations, and therapy expenses recommended by a doctor.",1.0,0.74748945,0.2409090909010605,1.0
What preventive care services are covered for a newborn baby?,"['Edelweiss General Insurance Company Limited  Edelweiss Financial Services Limited', 'maximum distance of travel  150 kms', 'air ambulance  competent government Authority', 'Cover  Transfer of Insured Person between similar medical facilities', 'Cover  Transportation from Hospital to residence after discharge', 'Cover  Transportation expenses outside India', 'Cover  Attempt at suicide', 'Cover  Injuries from acts of war or insurrection', 'Cover  Commission of unlawful acts', 'Cover  Incidents involving use of drugs unless prescribed', 'Claim  Insured Person', 'Air Ambulance expenses  Reimbursement', 'Well mother Cover  routine medical care', 'Routine Medical Care  Pharmacy, Diagnostics, Doctor Consultations and Therapy', 'Routine Preventive Care Services  Pharmacy and Diagnostic Tests', 'policy  infertility treatments', 'policy  charges under maternity section', 'Edelweiss General Insurance Company Limited  Edelweiss Financial Services Limited', 'Edelweiss General Insurance Company Limited  Edelweiss Financial Services Limited', 'Base Product  Add On', 'Air Ambulance Cover  expenses', 'Air Ambulance Cover  Sum insured', 'expenses  150 kms', 'Insured Person  ambulance transportation', 'Insured Person  Hospital', 'Cover  transportation from area of emergency to Hospital', 'Claim  Section II.A.1', 'Incidents  Coverage', 'Routine Medical Care  New Born Baby', 'Routine Preventive Care Services  Pharmacy and Diagnostic Tests', 'insured  At the onset of pregnancy and up to pre-hospitalization period for maternity', 'insured  maternity cover', 'policy  healthy baby expenses', 'policy  routine medical care for new born', 'Sum Insured Limit  Policy Schedule', 'Sum Insured  Multiple Born Babies', 'expenses  Insured Person', 'Insured Person  50% of the total cost or Sum Insured', 'Medically Necessary Treatment  Hospital', 'Well Baby Well Mother  Add On Wordings', 'Routine Medical Care  Routine Preventive Care Services', 'Routine Medical Care  Customary Examinations', 'Routine Medical Care  Immunizations']","The preventive care services covered for a newborn baby include ""Routine Preventive Care Services,"" which encompass expenses on ""Pharmacy and Diagnostic Tests."" This information is derived from the following relationships in the knowledge graph:

- (Routine Preventive Care Services [MEDICAL SERVICE]) Â[Include Expenses On]? (Pharmacy and Diagnostic Tests [EXPENSE CATEGORIES]) [Triplet 30]
- (Routine Medical Care [MEDICAL SERVICE]) Â[Provided To]? (New Born Baby [ENTITY]) [Triplet 29]",Preventive care services for a newborn baby include pharmacy expenses and diagnostic tests recommended by a doctor during hospitalization.,0.8,0.712843,0.0,1.0
Is infertility treatment covered under the Well Mother cover?,"['Well Baby Well Mother  Add On Wordings', 'Well mother Cover  routine medical care', 'infertility treatments  policy', 'policy  charges under maternity section', 'policy  healthy baby expenses', 'policy  routine medical care for new born']","The Well Mother cover does not cover infertility treatments. This is supported by the triplet: (infertility treatments [MEDICAL_TREATMENT]) Â[Does Not Cover]? (policy [INSURANCE_POLICY]) [source_page=2, source_chunk=7, confidence=0.95].","No, infertility treatments are not covered under the Well Mother cover.",0.0,0.8304018,0.0,0.0
What is the mode of payment for air ambulance claims?,"['Air Ambulance Cover  expenses', 'Air Ambulance Cover  Sum insured', 'air ambulance  competent government Authority', 'Air Ambulance expenses  Reimbursement', 'expenses  Insured Person', 'expenses  150 kms']","The mode of payment for air ambulance claims is ""Reimbursement."" This information is derived from the triplet: (Air Ambulance expenses [EXPENSE]) Â[Payable By]? (Reimbursement [PAYMENT_METHOD]) [Page 1].",Air ambulance claims are payable only through reimbursement mode.,0.5,0.82539684,0.0,1.0
"If an insured person travels 300 km using an air ambulance, how much reimbursement will be paid?","['Insured Person  ambulance transportation', 'Insured Person  Hospital', 'Insured Person  50% of the total cost or Sum Insured', 'Insured Person  expenses', 'Insured Person  Claim', 'Transfer of Insured Person between similar medical facilities  Cover', 'Hospital  Medically Necessary Treatment', 'expenses  150 kms', 'expenses  Air Ambulance Cover', 'Claim  Section II.A.1', 'Cover  transportation from area of emergency to Hospital', 'Cover  Transportation from Hospital to residence after discharge', 'Cover  Transportation expenses outside India', 'Cover  Attempt at suicide', 'Cover  Injuries from acts of war or insurrection', 'Cover  Commission of unlawful acts', 'Cover  Incidents involving use of drugs unless prescribed', 'Air Ambulance Cover  expenses', 'Air Ambulance Cover  Sum insured', 'air ambulance  competent government Authority', 'Air Ambulance expenses  Reimbursement', 'expenses  Insured Person', 'Reimbursement  Air Ambulance expenses']","To determine the reimbursement for an insured person traveling 300 km using an air ambulance, we need to refer to the relevant triplets in the knowledge graph:

1. (maximum distance of travel [DISTANCE]) Â[Is]? (150 kms [DISTANCE]) [Triplet 2]
2. (expenses [COST]) Â[Payable Up To]? (150 kms [DISTANCE]) [Triplet 23]

From these triplets, we can see that the maximum distance covered for reimbursement is 150 kms. Since the insured person traveled 300 km, which exceeds the maximum reimbursable distance of 150 kms, the reimbursement will only cover up to 150 kms.

Therefore, the reimbursement will be limited to the expenses incurred for 150 kms of travel.

The exact reimbursement amount is not specified in the knowledge graph, only the distance limit is provided.

?? The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.","If an insured person travels 300 km using an air ambulance, 50% of the total air ambulance cost or the sum insured, whichever is lower, will be reimbursed.",0.7272727272727273,0.63154805,0.3333333333,1.0
What happens if the air ambulance distance exceeds 150 km?,"['Air Ambulance Cover  expenses', 'Air Ambulance Cover  Sum insured', 'air ambulance  competent government Authority', 'Air Ambulance expenses  Reimbursement', 'expenses  Insured Person', 'expenses  150 kms', '150 kms  expenses', '150 kms  maximum distance of travel', 'expenses  Air Ambulance Cover']",?? The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"If the air ambulance distance exceeds 150 km, reimbursement is paid proportionately up to 150 km.",0.0,0.06910723,0.0,1.0
Under what conditions will air ambulance services be approved?,"['Edelweiss General Insurance Company Limited  Edelweiss Financial Services Limited', 'maximum distance of travel  150 kms', 'air ambulance  competent government Authority', 'Cover  Transfer of Insured Person between similar medical facilities', 'Cover  Transportation from Hospital to residence after discharge', 'Cover  Transportation expenses outside India', 'Cover  Attempt at suicide', 'Cover  Injuries from acts of war or insurrection', 'Cover  Commission of unlawful acts', 'Cover  Incidents involving use of drugs unless prescribed', 'Claim  Insured Person', 'Air Ambulance expenses  Reimbursement', 'Well mother Cover  routine medical care', 'Routine Medical Care  Pharmacy, Diagnostics, Doctor Consultations and Therapy', 'Routine Preventive Care Services  Pharmacy and Diagnostic Tests', 'policy  infertility treatments', 'policy  charges under maternity section', 'Edelweiss General Insurance Company Limited  Edelweiss Financial Services Limited', 'Edelweiss General Insurance Company Limited  Edelweiss Financial Services Limited', 'Base Product  Add On', 'Air Ambulance Cover  expenses', 'Air Ambulance Cover  Sum insured', 'expenses  150 kms', 'Insured Person  ambulance transportation', 'Insured Person  Hospital', 'Cover  transportation from area of emergency to Hospital', 'Claim  Section II.A.1', 'Incidents  Coverage', 'Routine Medical Care  New Born Baby', 'Routine Preventive Care Services  Pharmacy and Diagnostic Tests', 'insured  At the onset of pregnancy and up to pre-hospitalization period for maternity', 'insured  maternity cover', 'policy  healthy baby expenses', 'policy  routine medical care for new born', 'Sum Insured Limit  Policy Schedule', 'Sum Insured  Multiple Born Babies', 'expenses  Insured Person', 'Insured Person  50% of the total cost or Sum Insured', 'Medically Necessary Treatment  Hospital', 'Well Baby Well Mother  Add On Wordings', 'Routine Medical Care  Routine Preventive Care Services', 'Routine Medical Care  Customary Examinations', 'Routine Medical Care  Immunizations']","Air ambulance services will be approved under the following conditions:

1. The air ambulance must be licensed by a competent government authority. [Triplet 3]
2. The insured person requires ambulance transportation to a hospital. [Triplet 24]
3. The expenses for air ambulance services are payable by reimbursement. [Triplet 12]
4. The air ambulance cover includes expenses and has a maximum liability up to the sum insured. [Triplets 21, 22]
5. The maximum distance of travel for air ambulance services is limited to 150 kms. [Triplets 2, 23]","Air ambulance services will be approved only for life-threatening emergency conditions requiring immediate transportation for medically necessary treatment, certified by a medical practitioner, where road ambulance services cannot be provided.",1.0,0.7033293,0.0,1.0
List all exclusions under the Air Ambulance Cover.,"['Edelweiss General Insurance Company Limited  Edelweiss Financial Services Limited', 'maximum distance of travel  150 kms', 'air ambulance  competent government Authority', 'Cover  Transfer of Insured Person between similar medical facilities', 'Cover  Transportation from Hospital to residence after discharge', 'Cover  Transportation expenses outside India', 'Cover  Attempt at suicide', 'Cover  Injuries from acts of war or insurrection', 'Cover  Commission of unlawful acts', 'Cover  Incidents involving use of drugs unless prescribed', 'Claim  Insured Person', 'Air Ambulance expenses  Reimbursement', 'Well mother Cover  routine medical care', 'Routine Medical Care  Pharmacy, Diagnostics, Doctor Consultations and Therapy', 'Routine Preventive Care Services  Pharmacy and Diagnostic Tests', 'policy  infertility treatments', 'policy  charges under maternity section', 'Edelweiss General Insurance Company Limited  Edelweiss Financial Services Limited', 'Edelweiss General Insurance Company Limited  Edelweiss Financial Services Limited', 'Base Product  Add On', 'Air Ambulance Cover  expenses', 'Air Ambulance Cover  Sum insured', 'expenses  150 kms', 'Insured Person  ambulance transportation', 'Insured Person  Hospital', 'Cover  transportation from area of emergency to Hospital', 'Claim  Section II.A.1', 'Incidents  Coverage', 'Routine Medical Care  New Born Baby', 'Routine Preventive Care Services  Pharmacy and Diagnostic Tests', 'insured  At the onset of pregnancy and up to pre-hospitalization period for maternity', 'insured  maternity cover', 'policy  healthy baby expenses', 'policy  routine medical care for new born', 'Sum Insured Limit  Policy Schedule', 'Sum Insured  Multiple Born Babies', 'expenses  Insured Person', 'Insured Person  50% of the total cost or Sum Insured', 'Medically Necessary Treatment  Hospital', 'Well Baby Well Mother  Add On Wordings', 'Routine Medical Care  Routine Preventive Care Services', 'Routine Medical Care  Customary Examinations', 'Routine Medical Care  Immunizations']",?? The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"Exclusions include transfer between similar medical facilities, transportation from hospital to home after discharge, expenses outside India, suicide attempts, war or insurrection injuries, unlawful acts, drug use unless prescribed, duplicate claims for the same illness or accident, and situations where treatment is available at the current hospital.",0.0,0.09520805,0.0,0.5555555555555556
What are the available coverage periods under the Well Mother cover?,"['Well Baby Well Mother  Add On Wordings', 'Well mother Cover  routine medical care']",?? The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"Coverage periods include: from onset of pregnancy up to pre-hospitalization for maternity, up to first discharge after maternity hospitalization, or up to 30 days after childbirth.",0.0,0.03620389,0.0,0.0
