question,vectorRAG_answer,graphRAG_answer,hybridRAG_answer
What is the maximum air ambulance travel distance covered under the policy?,"The maximum air ambulance travel distance covered under the policy is 150 kilometers. If the distance traveled is more than 150 kilometers, a proportionate amount of expenses up to 150 kilometers shall be payable. [Page 1]",⚠️ The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"The maximum air ambulance travel distance covered under the policy is 150 kilometers. If the distance traveled exceeds 150 kilometers, expenses will be covered proportionately up to that limit."
What expenses are included under routine medical care for Well Mother cover?,"The expenses included under routine medical care for the Well Mother cover are expenses recommended by a doctor and incurred on Pharmacy, Diagnostics, Doctor Consultations, and Therapy [Page 2].",,"The expenses included under routine medical care for the Well Mother cover are those recommended by a doctor and incurred on pharmacy, diagnostics, doctor consultations, and therapy."
What preventive care services are covered for a newborn baby?,"The preventive care services covered for a newborn baby include routine preventive care services and immunizations within the hospitalization period. This coverage is part of the routine medical care provided to a newborn baby, which includes appropriate customary examinations required to assess the integrity and basic functions of the child's organs and skeletal structure carried out immediately following birth [Page 2].",⚠️ The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,The preventive care services covered for a newborn baby include routine preventive care services and immunizations during the hospitalization period. This care involves examinations to assess the baby's organs and skeletal structure immediately after birth.
Is infertility treatment covered under the Well Mother cover?,"No, infertility treatment is not covered under the Well Mother cover. This is explicitly stated in the document: ""We will not cover 1. Any infertility treatments"" [Page 2].",⚠️ The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"No, infertility treatment is not covered under the Well Mother cover."
What is the mode of payment for air ambulance claims?,The mode of payment for air ambulance claims is by reimbursement only. [Page 1],⚠️ The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,The mode of payment for air ambulance claims is by reimbursement only.
"If an insured person travels 300 km using an air ambulance, how much reimbursement will be paid?","If an insured person travels 300 km using an air ambulance, 50% of the total cost or the Sum Insured, whichever is lower, will be reimbursed. This is because the maximum distance covered for reimbursement is 150 km, and if the distance traveled is more than 150 km, a proportionate amount of expenses up to 150 km is payable. [Page 1]",⚠️ The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"If an insured person travels 300 km using an air ambulance, 50% of the total cost or the Sum Insured, whichever is lower, will be reimbursed. The reimbursement is based on a maximum distance of 150 km, so only expenses up to that distance are considered."
What happens if the air ambulance distance exceeds 150 km?,"If the air ambulance distance exceeds 150 km, a proportionate amount of expenses up to 150 km shall be payable. For example, if the insured has traveled a distance of 300 km using an air ambulance, the insurer will pay 50% of the total cost or the Sum Insured, whichever is lower. This is calculated as (Eligibility/Actual distance traveled: 150 km/300 km = 0.5) [Page 1].",⚠️ The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"If the air ambulance distance exceeds 150 km, the insurer will cover a proportionate amount of the expenses up to 150 km. For example, if the distance traveled is 300 km, the insurer will pay 50% of the total cost or the Sum Insured, whichever is lower."
Under what conditions will air ambulance services be approved?,"Air ambulance services will be approved under the following conditions:

1. It is for a life-threatening emergency health condition of the Insured Person that requires immediate and rapid ambulance transportation to a hospital for Medically Necessary Treatment, certified in writing by a Medical Practitioner, and when road ambulance services cannot be provided [Page 1, Passage 1].

2. The air ambulance service must be duly licensed to operate by a competent government authority [Page 1, Passage 1].

3. The maximum distance of travel undertaken is 150 kms. If the distance traveled is more than 150 kms, a proportionate amount of expenses up to 150 kms shall be payable [Page 1, Passage 2].

4. The transportation is limited to moving the Insured Person from the area of emergency to a hospital providing emergency care that is not available at the place of origin, or from one medical center to another [Page 1, Passage 4].

5. Claims towards air ambulance expenses will be payable by mode of reimbursement only [Page 1, Passage 3].",⚠️ The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"Air ambulance services will be approved if they are for a life-threatening emergency that requires immediate transport to a hospital for necessary treatment, certified by a medical practitioner, and when road ambulance services are not available. The air ambulance must be licensed, and the travel distance should not exceed 150 kilometers. The service is for moving the patient to a hospital where emergency care is available, and expenses are reimbursed."
List all exclusions under the Air Ambulance Cover.,"The exclusions under the Air Ambulance Cover are as follows:

1. Transfer of the Insured Person from one medical facility to another medical facility of similar capabilities which provides a similar level of care.
2. Any transportation of the Insured Person from Hospital to the Insured Person’s residence after he/she has been discharged from the Hospital.
3. Any transportation or air ambulance expenses incurred outside the geographical scope of India.
4. Attempt at suicide.
5. Injuries resulting from participation in acts of war or insurrection.
6. Commission of unlawful acts.
7. Incidents involving use of drugs unless prescribed by a medical practitioner.
8. If Medically Necessary Treatment can be provided at the Hospital where the Insured Person is situated at the time of requiring Emergency Care. [Page 1]",⚠️ The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"The exclusions under the Air Ambulance Cover include: transfer between medical facilities of similar capabilities, transportation from hospital to home after discharge, expenses incurred outside India, suicide attempts, injuries from acts of war or insurrection, unlawful acts, drug use unless prescribed, and if necessary treatment can be provided at the current hospital."
What are the available coverage periods under the Well Mother cover?,"The available coverage periods under the Well Mother cover are:

i) At the onset of pregnancy and up to pre-hospitalization period for maternity.
ii) At the onset of pregnancy and maternity hospitalization (only routine preventive care services and immunizations) up to first discharge from hospital.
iii) At the onset of pregnancy, maternity hospitalization (only routine preventive care services and immunizations) and until 30 days following birth of newborn baby. 

[Page 2]",⚠️ The requested information was not found in the knowledge graph. The graph may not contain this specific relationship.,"The available coverage periods under the Well Mother cover are: from the onset of pregnancy up to the pre-hospitalization period for maternity; from the onset of pregnancy and maternity hospitalization (covering only routine preventive care services and immunizations) up to the first discharge from the hospital; and from the onset of pregnancy, through maternity hospitalization (covering only routine preventive care services and immunizations), and until 30 days following the birth of the newborn baby."
